cutoff_date,rank,ticker,company,cik,total_score,selected_top_10,indicator_Return on equity,indicator_Net profit margin,indicator_Margin consistency,indicator_Liabilities to assets,indicator_Positive free cash flow,indicator_Revenue growth,indicator_Earnings growth,points_Return on equity,points_Net profit margin,points_Margin consistency,points_Liabilities to assets,points_Positive free cash flow,points_Revenue growth,points_Earnings growth
2023-09-10,29,PG,The Procter & Gamble Company,80424,83,False,0.31388299809352443,0.17868204765504964,0.05046298001072675,0.6104825828236599,5,0.04915559986315854,0.3925122871337805,20,15,5,8,20,5,10
2023-09-10,30,PH,Parker-Hannifin Corp,76334,81,False,0.21725652896528946,0.10925333358789845,0.01432268963418429,0.6549821068096912,5,0.07416771756341389,0.08115008014141445,20,8,10,8,20,5,10
2023-09-10,31,GWW,"W.W. Grainger, Inc.",277135,81,False,0.7171998145572555,0.10158917783031259,0.014171425277622014,0.6784396415392725,5,0.07932646595874315,0.18596231773929017,20,8,10,8,20,5,10
2023-09-10,32,ADI,"Analog Devices, Inc.",6281,80,False,0.07382862777491672,0.22878073520014602,0.017653452883162675,0.27507714848312254,5,0.1797963951196846,0.16211597923277266,0,15,10,15,20,10,10
2023-09-10,33,KO,COCA COLA CO,21344,80,False,0.4051460597826087,0.2218863361547763,0.022160793375704025,0.7401442385433847,5,0.05816570812948596,0.10354383504068965,20,15,10,0,20,5,10
2023-09-10,34,HEI,HEICO CORPORATION,46619,80,False,0.14444857242668058,0.15924987388614523,0.009544810581726227,0.27337079562524297,5,0.05572230933244304,0.07922700160046148,10,15,10,15,20,5,5
2023-09-10,35,ISRG,"Intuitive Surgical, Inc.",1035267,80,False,0.11526827354748725,0.2125132589759249,0.03822214923230756,0.14347155850161863,5,0.13691433574190204,0.04055454457244956,10,15,5,15,20,10,5
2023-09-10,36,KLAC,KLA CORP,319201,80,False,1.5677831406048084,0.3227190289381078,0.052349455387417344,0.7925185525068758,5,0.2311289009255313,0.3028553897005002,20,15,5,0,20,10,10
2023-09-10,37,META,"Meta Platforms, Inc.",1326801,80,False,0.18516153747924913,0.19895548371051977,0.06842417419121043,0.3231301857026711,5,0.20212756068098603,0.012080342738393757,20,15,0,15,20,10,0
2023-09-10,38,FIX,"COMFORT SYSTEMS USA, INC.",1035983,78,False,0.2724285537849422,0.059402265114854635,0.005393948123893485,0.6150408203649848,5,0.1735516684999976,0.2148817605580866,20,0,10,8,20,10,10
